FALSE,A1 001,Bulbasaur,Mewtwo,♢
FALSE,A1 002,Ivysaur,Mewtwo,♢♢
FALSE,A1 003,Venusaur,Mewtwo,♢♢♢
FALSE,A1 004,Venusaur ex,Mewtwo,♢♢♢♢
FALSE,A1 005,Caterpie,Pikachu,♢
FALSE,A1 006,Metapod,Pikachu,♢
FALSE,A1 007,Butterfree,Pikachu,♢♢♢
FALSE,A1 008,Weedle,Mewtwo,♢
FALSE,A1 009,Kakuna,Mewtwo,♢
FALSE,A1 010,Beedrill,Mewtwo,♢♢♢
FALSE,A1 011,Oddish,Charizard,♢
FALSE,A1 012,Gloom,Charizard,♢♢
FALSE,A1 013,Vileplume,Charizard,♢♢♢
FALSE,A1 014,Paras,Pikachu,♢
FALSE,A1 015,Parasect,Pikachu,♢♢
FALSE,A1 016,Venonat,Mewtwo,♢
FALSE,A1 017,Venomoth,Mewtwo,♢♢
FALSE,A1 018,Bellsprout,Charizard,♢
FALSE,A1 019,Weepinbell,Charizard,♢♢
FALSE,A1 020,Victreebel,Charizard,♢♢♢
FALSE,A1 021,Exeggcute,Charizard,♢
FALSE,A1 022,Exeggutor,Charizard,♢♢♢
FALSE,A1 023,Exeggutor ex,Charizard,♢♢♢♢
FALSE,A1 024,Tangela,Charizard,♢
FALSE,A1 025,Scyther,Mewtwo,♢
FALSE,A1 026,Pinsir,All,♢♢
FALSE,A1 027,Cottonee,All,♢
FALSE,A1 028,Whimsicott,All,♢♢
FALSE,A1 029,Petilil,All,♢
FALSE,A1 030,Lilligant,All,♢♢
FALSE,A1 031,Skiddo,Charizard,♢
FALSE,A1 032,Gogoat,Charizard,♢
FALSE,A1 033,Charmander,Charizard,♢
FALSE,A1 034,Charmeleon,Charizard,♢♢
FALSE,A1 035,Charizard,Charizard,♢♢♢
FALSE,A1 036,Charizard ex,Charizard,♢♢♢♢
FALSE,A1 037,Vulpix,Charizard,♢
FALSE,A1 038,Ninetales,Charizard,♢♢
FALSE,A1 039,Growlithe,Pikachu,♢
FALSE,A1 040,Arcanine,Pikachu,♢♢♢
